outer_fold,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_bootstrap,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1,0,25,13.340024709701538,0.11994457183896104,0.03464182217915853,0.0050727615531174835,20,8,sqrt,20,entropy,False,25,"{'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.7790817602050346,0.7929137743627472,0.7898487040546227,0.7872814128741349,0.005931519868119731,111
1,0,25,149.08424909909567,1.04567081304411,0.03150033950805664,0.003933018343288487,2,2,0.2,40,gini,False,25,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.2, 'max_depth': 40, 'criterion': 'gini', 'bootstrap': False, 'n_estimators': 25}",0.8173991459204215,0.8201755045970757,0.8147579773653808,0.8174442092942926,0.002211925760852948,46
1,0,25,97.87099528312683,0.47141918849604125,0.03198981285095215,0.002803932326688514,2,8,0.1,40,entropy,False,25,"{'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.1, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.8146326137467399,0.8042906284034506,0.8096029573223809,0.8095087331575238,0.004222623501658271,64
1,0,25,12.819970607757568,0.5045825207487797,0.03314129511515299,0.0007533057350945037,10,4,0.02,80,entropy,True,25,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.02, 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': True, 'n_estimators': 25}",0.7747745577053771,0.7864993139212018,0.7697519313800258,0.7770086010022016,0.007017213007274126,125
1,0,25,8.97010358174642,0.0591451371269261,0.034215450286865234,0.0021718600494345106,5,1,sqrt,80,entropy,True,25,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': True, 'n_estimators': 25}",0.7714269338061589,0.775331763227258,0.7672179179326322,0.7713255383220163,0.0033132393161812742,129
1,0,25,13.428232749303183,0.2254388922146304,0.03567814826965332,0.004261687656428702,10,8,sqrt,40,entropy,False,25,"{'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.7886139553288651,0.7754148673180055,0.7833068933804982,0.7824452386757895,0.005422841672174883,115
1,0,25,148.81190403302512,2.110500829852777,0.03404068946838379,0.0017406673280871859,5,1,0.2,60,gini,False,25,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.2, 'max_depth': 60, 'criterion': 'gini', 'bootstrap': False, 'n_estimators': 25}",0.8095914446404157,0.8123413139989634,0.8163855686735677,0.8127727757709823,0.002790418103677753,60
1,0,25,41.51364223162333,1.4976187998628259,0.03202509880065918,0.0008883253790253414,10,2,0.1,,gini,True,25,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.1, 'max_depth': None, 'criterion': 'gini', 'bootstrap': True, 'n_estimators': 25}",0.8009184795234777,0.8006419336533753,0.7946768553329089,0.7987457561699207,0.0028793616098762736,82
1,0,25,22.257060130437214,0.7831440366163472,0.04178643226623535,0.0025477556468223124,20,1,0.02,,entropy,False,25,"{'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 0.02, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.7967108181302793,0.7925991984286092,0.7901554646628577,0.7931551604072488,0.002704931922985476,99
1,0,25,168.91472681363425,1.2335251955816147,0.037947495778401695,0.0011204881223010907,2,1,0.2,40,gini,False,25,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.2, 'max_depth': 40, 'criterion': 'gini', 'bootstrap': False, 'n_estimators': 25}",0.8106736198786921,0.8163013119815149,0.8142509634295898,0.8137419650965989,0.002325516297984033,56
1,0,25,34.17116355895996,0.6274869628625253,0.036985158920288086,0.0027727313890728972,20,2,0.05,20,entropy,True,25,"{'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 0.05, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True, 'n_estimators': 25}",0.7837867899152045,0.779998538720101,0.7794290706575091,0.7810714664309382,0.001934047515227053,118
1,0,25,47.237666289011635,1.254345628330409,0.03760655721028646,0.003701477106126353,2,1,0.1,40,gini,True,25,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_depth': 40, 'criterion': 'gini', 'bootstrap': True, 'n_estimators': 25}",0.7899616630560145,0.8012000346421371,0.8135368198791477,0.8015661725257663,0.009627999014028589,78
1,0,25,39.52201096216837,0.7667630487543998,0.03690052032470703,0.0033273383300173017,2,2,0.05,40,gini,False,25,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.05, 'max_depth': 40, 'criterion': 'gini', 'bootstrap': False, 'n_estimators': 25}",0.8108424936013947,0.8189617037825063,0.8098310432881656,0.8132117468906889,0.0040867477801100885,58
1,0,25,97.39366253217061,0.3684539125142137,0.030610958735148113,0.0044734322627108586,10,8,0.1,40,entropy,False,25,"{'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 0.1, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.8146326137467399,0.8042906284034506,0.8096029573223809,0.8095087331575238,0.004222623501658271,64
1,0,25,21.15631977717082,0.36168909777996255,0.030809958775838215,0.003672535411539301,2,2,0.02,20,entropy,False,25,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.02, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.8064022317103873,0.7893706980387988,0.7984066131967043,0.7980598476486301,0.0069574166451162765,84
1,0,25,49.90317432085673,0.2235741777218149,0.03307803471883138,0.005485504217334852,5,2,0.05,80,entropy,False,25,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.05, 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.8048634835937771,0.8138463262377854,0.8073627279585471,0.8086908459300366,0.0037855680772638177,67
1,0,25,13.579223871231079,0.13424455599190802,0.0348966916402181,0.004427600003630404,2,1,sqrt,20,entropy,False,25,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.794281264662113,0.7937840480227535,0.7866305592775078,0.7915652906541247,0.003495281239627696,105
1,0,25,13.66881251335144,0.4225398441384912,0.03500080108642578,0.0003834850501633489,20,4,sqrt,80,entropy,False,25,"{'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.7929623255145782,0.7954219220444093,0.7976164514627722,0.7953335663405866,0.0019010658647561375,89
1,0,25,13.241466999053955,0.4885335982740153,0.03767228126525879,0.005152675550016901,10,2,0.02,,entropy,True,25,"{'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.02, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': True, 'n_estimators': 25}",0.7881938942856951,0.7846993138693267,0.7678997583902626,0.7802643221817614,0.008858700107320108,121
1,0,25,1.5747447808583577,0.016115122224141392,0.04172126452128092,0.0044645497303076745,10,1,log2,40,gini,False,25,"{'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'gini', 'bootstrap': False, 'n_estimators': 25}",0.7617846283533333,0.7595990712394087,0.7519341163423107,0.7577726053116843,0.00422375268047101,136
1,0,25,13.323528528213501,0.07819378240856922,0.03590798377990723,0.002277175035912681,2,4,0.02,80,gini,False,25,"{'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.02, 'max_depth': 80, 'criterion': 'gini', 'bootstrap': False, 'n_estimators': 25}",0.8088143485446394,0.801863193028356,0.8072540656084568,0.8059772023938173,0.0029779663647713154,72
1,0,25,1.4099185466766357,0.006367693215304974,0.03502464294433594,0.004061600821533844,20,2,log2,20,entropy,True,25,"{'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True, 'n_estimators': 25}",0.7429993078910102,0.7418644633138501,0.7137592610210459,0.7328743440753019,0.013524342699540236,150
1,0,25,121.37409440676372,1.154482836320838,0.03948338826497396,0.006988257886706416,2,2,0.2,80,entropy,True,25,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.2, 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': True, 'n_estimators': 25}",0.789120367302707,0.7888401595241614,0.8067009013348176,0.794887142720562,0.008354372050877065,92
1,0,25,2.210155169169108,0.021239098261614117,0.03790640830993652,0.004749027317727237,20,4,log2,80,entropy,False,25,"{'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.7491415135462451,0.7493119023254253,0.7403639940710252,0.7462724699808986,0.004178502424488406,145
1,0,25,20.385284344355266,0.27075280569715143,0.030347903569539387,0.0035495947788155534,20,2,0.05,40,gini,True,25,"{'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 0.05, 'max_depth': 40, 'criterion': 'gini', 'bootstrap': True, 'n_estimators': 25}",0.7972835891932301,0.7937766502557985,0.7942392089601663,0.7950998161363984,0.0015556646407146855,91
1,0,25,22.203876495361328,0.9969891987507914,0.03591076532999674,0.001015576904686859,10,1,0.02,80,entropy,False,25,"{'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.02, 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.8034771201678926,0.7961384663118194,0.7808827109410581,0.79349943247359,0.009410993811385562,97
1,0,25,9.125774463017782,0.1068649916688167,0.03330079714457194,0.002038034166882637,2,2,0.02,80,gini,True,25,"{'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.02, 'max_depth': 80, 'criterion': 'gini', 'bootstrap': True, 'n_estimators': 25}",0.7851700758403596,0.7730398027982333,0.7853687526686923,0.7811928771024284,0.005765664666964501,117
1,0,25,14.853472073872885,0.186709312610648,0.0347142219543457,0.0019478276808798127,20,2,sqrt,,entropy,False,25,"{'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.794574611611425,0.7904809028283495,0.7973665736849368,0.7941406960415703,0.002827758573810195,95
1,0,25,12.857267379760742,0.18594398092216236,0.03172930081685384,0.0005119240664272325,20,8,0.02,,entropy,True,25,"{'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 0.02, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': True, 'n_estimators': 25}",0.7810488182363627,0.7898625681204843,0.7797555946436814,0.7835556603335094,0.004490799571733267,114
1,0,25,1.4859905242919922,0.038783812268932905,0.03610761960347494,0.0008998779739471878,20,8,log2,20,entropy,True,25,"{'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True, 'n_estimators': 25}",0.7406388558444654,0.7411152800245131,0.7261517952616034,0.7359686437101939,0.006944284465024909,147
1,0,25,8.418341954549154,0.16438660859295962,0.036209821701049805,0.0011432862733225914,20,8,sqrt,,entropy,True,25,"{'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy', 'bootstrap': True, 'n_estimators': 25}",0.7694419901932212,0.7657146956073542,0.7675478445722119,0.7675681767909291,0.0015217295602475854,132
1,0,25,15.075451374053955,0.12155495705726291,0.03493618965148926,0.005853069551123224,5,4,0.02,,gini,False,25,"{'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.02, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False, 'n_estimators': 25}",0.8088143485446394,0.801863193028356,0.8072540656084568,0.8059772023938173,0.0029779663647713154,72
1,0,25,10.475063641866049,0.21596818191687941,0.03786508242289225,0.0026599442456347938,2,1,0.02,20,gini,True,25,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.02, 'max_depth': 20, 'criterion': 'gini', 'bootstrap': True, 'n_estimators': 25}",0.7797031795064935,0.7921786270246635,0.781290655509792,0.7843908206803163,0.005544815341563221,113
1,0,25,210.4930384159088,0.9566767694927101,0.032995144526163735,0.0017194777163269533,20,1,0.2,80,entropy,False,25,"{'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 0.2, 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.8108943661859864,0.8087725402883319,0.8116741248762205,0.8104470104501796,0.0012260760297082148,62
1,0,25,15.671235005060831,0.7283794141814278,0.035951455434163414,0.007114387651336941,10,4,sqrt,20,entropy,False,25,"{'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False, 'n_estimators': 25}",0.8074261259623892,0.7907662322157921,0.7717492733417075,0.7899805438399629,0.014575605942747736,108
