mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
25.007758378982544,0.1254916077553098,0.45947058995564777,0.018012855576728333,800,2,1,log2,40,gini,True,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'gini', 'bootstrap': True}",0.8177845014024531,0.8178058384811524,0.806589159208488,0.8140598330306977,0.005282571301687629,77
338.2961569627126,0.9085425609133119,0.34671862920125324,0.012110798566324904,800,2,1,0.02,60,entropy,True,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.02, 'max_depth': 60, 'criterion': 'entropy', 'bootstrap': True}",0.8363640177163059,0.8361277497823227,0.8249924881445083,0.8324947518810456,0.0053057783917523586,23
1017.792275985082,32.474010589393124,0.2204585075378418,0.023114968260048285,500,2,4,0.1,20,entropy,True,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.1, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True}",0.8320465857882436,0.8140484147584254,0.8157541826711344,0.8206163944059345,0.008112310288286888,61
2191.8602503935494,68.68996258594183,0.1580533186594645,0.009227466120357736,300,2,8,0.2,60,entropy,False,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 0.2, 'max_depth': 60, 'criterion': 'entropy', 'bootstrap': False}",0.824157809075508,0.8154830707498971,0.8140185853141431,0.8178864883798495,0.004474615577434602,64
14.639721473058065,0.08808922041916802,0.18430527051289877,0.00419705388029909,300,2,8,log2,20,gini,False,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'bootstrap': False}",0.7961800386622631,0.7981837619356128,0.7931030160411294,0.7958222722130017,0.002089576087031401,94
26.877685546875,0.03727140344500833,0.47408421834309894,0.002028684102239801,800,20,2,log2,80,gini,True,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 80, 'criterion': 'gini', 'bootstrap': True}",0.7991073419199374,0.795430383033237,0.783990574849996,0.7928427666010567,0.006436923735335206,96
172.61983625094095,0.9307784127072841,0.19690688451131186,0.011661988054807821,300,2,2,0.02,60,gini,False,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.02, 'max_depth': 60, 'criterion': 'gini', 'bootstrap': False}",0.8470901301048164,0.839394825422792,0.8482574419238271,0.8449141324838118,0.003931727105320528,1
425.4505757490794,1.6652983026018986,0.4836881160736084,0.01799172838562788,800,10,4,0.02,20,gini,False,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.02, 'max_depth': 20, 'criterion': 'gini', 'bootstrap': False}",0.8352032404197851,0.8348460983715131,0.8350411917370206,0.835030176842773,0.00014601051693272156,17
26.583127816518147,0.062256841517010664,0.22053265571594238,0.01849804572599027,300,10,4,log2,,entropy,False,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}",0.8134550490787024,0.8036270704244918,0.7960802364482755,0.8043874519838233,0.007113586229764304,91
45.35166613260905,0.117209446104875,0.5156377156575521,0.004279650917054899,800,5,2,log2,,entropy,True,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy', 'bootstrap': True}",0.8066691172649273,0.8133934566324034,0.8020245935098977,0.8073623891357428,0.0046671355661844025,88
