candidate_id,mean_inner_macro_f1,sd_inner_macro_f1,total_fit_seconds,completed_inner_folds,stage,n_estimators,rank
46,0.8010587070708737,0.011364482560840916,10.113580600038404,3,1,25,33
81,0.8008257637918854,0.011688599132830112,9.620671699987724,3,1,25,34
56,0.7996049686835242,0.008422912193254658,9.043781199958175,3,1,25,35
44,0.7994564307149195,0.008525524056667054,16.506918700004462,3,1,25,36
72,0.7994564307149195,0.008525524056667054,16.95207670002128,3,1,25,37
13,0.7992252798483567,0.019501817397448863,4.239963200001512,3,1,25,38
35,0.7988152187249064,0.009109407815468337,53.866165500017814,3,1,25,39
33,0.7987240455511754,0.011582790350473996,14.095012599980691,3,1,25,40
5,0.7987019576948029,0.0068153693257694695,14.883372200012673,3,1,25,41
12,0.7987019576948029,0.0068153693257694695,14.582115300028818,3,1,25,42
93,0.7985040347294414,0.011950017580867521,14.943532100005541,3,1,25,43
53,0.7972191776186298,0.013633721537262668,9.351286899996921,3,1,25,44
66,0.7965560398969052,0.01027986429129162,35.35650729999179,3,1,25,45
9,0.7965345611416946,0.011862405475626695,9.76660649999394,3,1,25,46
70,0.7961898723941249,0.012667578715797132,27.24683159997221,3,1,25,47
86,0.7954988063060527,0.014941896779529132,10.2212123000063,3,1,25,48
76,0.7951647765898118,0.014668469860874337,10.00311540000257,3,1,25,49
29,0.7947542936472213,0.011014853555024616,14.63466999999946,3,1,25,50
38,0.7944752524988276,0.0102182240002299,4.047846100002062,3,1,25,51
57,0.7935200010257727,0.012912918796652356,6.476482700003544,3,1,25,52
80,0.7934504804116509,0.00424547879930696,6.489129900030093,3,1,25,53
41,0.7933147328964383,0.009680264069231434,4.165683599974727,3,1,25,54
75,0.7929657023052076,0.01672733029965631,12.64324510001461,3,1,25,55
14,0.7917385178261198,0.016718408054724996,9.292728500033263,3,1,25,56
51,0.7916635635339658,0.01666805187594822,36.88070050001261,3,1,25,57
7,0.7916425697188861,0.017835418154616162,52.91108709998662,3,1,25,58
63,0.791391012467047,0.017103417836657985,7.506289800017839,3,1,25,59
39,0.7909933355972371,0.016652775824418316,18.53261849997216,3,1,25,60
52,0.7909933355972371,0.016652775824418316,18.587709899962647,3,1,25,61
11,0.7908766359033227,0.012761635419351693,24.711621900001774,3,1,25,62
65,0.7902942643188083,0.011765325584111926,9.731584799970733,3,1,25,63
59,0.7902225806357351,0.009690410351980532,3.928717799979495,3,1,25,64
24,0.7897990479621924,0.007537362299534235,14.79890749999322,3,1,25,65
62,0.7897990479621924,0.007537362299534235,14.318120000010822,3,1,25,66
47,0.7897844095966885,0.013262257038212072,6.244989299972076,3,1,25,67
10,0.7897803392738701,0.008304576308556267,13.967146599985426,3,1,25,68
100,0.7897803392738701,0.008304576308556267,14.05517850004253,3,1,25,69
36,0.7896181238169474,0.017155903354508194,5.745332999969833,3,1,25,70
84,0.7889252757157447,0.012748338530750086,3.669320400018478,3,1,25,71
49,0.788868002120044,0.01690971512744719,3.9208577999670524,3,1,25,72
83,0.7882524771477786,0.010365838146087684,27.52217519999249,3,1,25,73
74,0.7878621885145565,0.012257994804419475,6.364382400002796,3,1,25,74
6,0.7847530374854156,0.014335794932489725,6.6354915999691,3,1,25,75
15,0.7819963954424782,0.015582318654871325,4.153052200010279,3,1,25,76
17,0.7804638577183168,0.01186669485913939,3.6642072000249755,3,1,25,77
16,0.77993670579189,0.02011211341016523,4.511693000007654,3,1,25,78
87,0.779459485467728,0.021497337155006645,5.527714699972421,3,1,25,79
32,0.7778402670475252,0.005557122609239984,5.83689570002025,3,1,25,80
54,0.7759414723561943,0.003763071041254885,6.201131400041049,3,1,25,81
99,0.7746153604434222,0.015969401755854748,2.7601934999984223,3,1,25,82
1,0.7682507162789104,0.00926512050124273,4.175930299999891,3,1,25,83
26,0.7678096294608987,0.0161864903303489,1.3284504000039306,3,1,25,84
92,0.7675082598404638,0.02681947837371444,3.9982180999650154,3,1,25,85
73,0.7664956730349499,0.014512928264961625,1.4374703999783378,3,1,25,86
30,0.7663136603971092,0.01942928110515983,3.5442470000125468,3,1,25,87
58,0.7646297453830347,0.023982568685697727,0.9450507999863476,3,1,25,88
78,0.7575924923016245,0.014707920301605287,1.4367904999817256,3,1,25,89
71,0.7575539904345671,0.012453083235488426,0.8772661999973933,3,1,25,90
28,0.7555507084390857,0.017716130549043856,1.2971735999744851,3,1,25,91
98,0.7393482962751733,0.01724314529296763,0.9374256999872158,3,1,25,92
61,0.7384737629797771,0.02273939252750589,0.986163299967302,3,1,25,93
90,0.738331435964566,0.005640919707483177,0.763465299969539,3,1,25,94
21,0.7367722833654411,0.01028082631821275,1.4394114000024274,3,1,25,95
97,0.7366314666446449,0.03174964775279828,1.0126531000132672,3,1,25,96
50,0.7363412969765527,0.022403208682310865,0.9083112999796867,3,1,25,97
20,0.7362635009166428,0.017121142649262257,1.5626020999916364,3,1,25,98
45,0.7244192443329044,0.01897774079879293,1.0206479000044055,3,1,25,99
22,0.7230337827989546,0.020974545044683632,1.3943479000008665,3,1,25,100
