iter,n_resources,rank_test_score,candidate_id,mean_test_score,std_test_score,total_fit_seconds,inner_folds_completed,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
0,25,29,23,0.8735221766883848,0.002350234495110997,4.822044623000693,3,gini,,2,1,0.1,True
0,25,30,34,0.8732903725149317,0.005953276064378041,5.695204818999628,3,entropy,60.0,5,1,0.1,True
0,25,31,17,0.8725504633596413,0.006456421985505582,3.06324551200305,3,gini,20.0,10,8,0.05,False
0,25,32,3,0.8725348419591449,0.006459789390936233,3.049781221001467,3,gini,60.0,2,8,0.05,False
0,25,33,59,0.8724716141087597,0.007054248980369584,3.4045740280052996,3,gini,80.0,20,4,0.05,False
0,25,34,88,0.8723855950899194,0.006977581068819079,8.765658162003092,3,gini,,2,2,0.2,True
0,25,35,46,0.871803741790378,0.00917237263591158,1.7903071600012481,3,entropy,,5,8,0.02,False
0,25,36,33,0.8716236096692555,0.005225624001095682,1.9839090619971103,3,entropy,80.0,10,1,0.02,False
0,25,37,42,0.8715779025055038,0.009372764336807941,4.14185869100038,3,entropy,80.0,20,8,0.05,False
0,25,38,92,0.8714769463316406,0.0025722281417243508,0.9621312380004383,3,entropy,20.0,5,1,log2,False
0,25,39,71,0.8712580233911287,0.01419618600981033,1.9140607379995345,3,entropy,60.0,10,4,0.02,False
0,25,40,20,0.8712256289766919,0.006092044198607386,1.7988745459988422,3,entropy,20.0,2,1,sqrt,True
0,25,41,79,0.8708329796941764,0.004829752886667654,0.9307165999998688,3,entropy,80.0,5,2,log2,False
0,25,42,90,0.8707336360209698,0.0063457152241653,4.2342194550001295,3,entropy,20.0,5,8,0.05,False
0,25,43,61,0.8701127425694423,0.01050447765097043,2.627969025001221,3,entropy,,20,1,sqrt,False
0,25,44,10,0.8689452577365051,0.0035891928973139885,4.431262459002028,3,gini,80.0,10,2,0.1,True
0,25,45,81,0.8686235479374638,0.0064905894463976955,5.54891200199927,3,entropy,80.0,5,4,0.1,True
0,25,46,63,0.8683081345148039,0.010696651788912976,1.481871185998898,3,gini,60.0,20,2,0.02,False
0,25,47,58,0.8680686124732988,0.010946864374769683,1.8000869959978445,3,entropy,,20,8,0.02,False
0,25,48,64,0.8680686124732988,0.010946864374769683,1.7597661759973562,3,entropy,40.0,20,8,0.02,False
0,25,49,2,0.8680088061120773,0.0051940562332442,2.3894304140012537,3,gini,40.0,5,2,0.05,True
0,25,50,13,0.8679383405781076,0.005993191015388007,2.997704325000086,3,entropy,20.0,5,1,0.05,True
0,25,51,48,0.8676164476899944,0.0035023320496166883,4.159448989001248,3,gini,,2,4,0.1,True
0,25,52,66,0.8675797648419618,0.0036936320174087997,4.610822361999453,3,gini,20.0,2,2,0.1,True
0,25,53,22,0.86733245651291,0.007598831630079199,9.215132269997412,3,gini,20.0,5,1,0.2,True
0,25,54,24,0.8672755984297792,0.010925975852625289,0.9222121960010554,3,entropy,40.0,2,4,log2,False
0,25,55,16,0.8671176987352264,0.006664753016955355,1.76771304200156,3,gini,,5,8,sqrt,False
0,25,56,32,0.8668026685564114,0.006193903915062611,8.162055832999613,3,gini,20.0,20,4,0.2,True
0,25,57,38,0.8665144260272356,0.006463678297969062,8.354911587997776,3,gini,80.0,10,4,0.2,True
0,25,58,100,0.8662620939627693,0.0006621270145838814,1.671650229003717,3,entropy,20.0,10,4,sqrt,True
0,25,59,65,0.8661669881934393,0.004735948376858834,2.186060983003699,3,gini,60.0,10,4,0.05,True
0,25,60,18,0.8658483116600176,0.001312598966399968,1.6944965779985068,3,entropy,60.0,10,4,sqrt,True
0,25,61,11,0.8652237475306949,0.0053432443729960945,3.7213254389971553,3,gini,60.0,2,8,0.1,True
0,25,62,78,0.8652237475306949,0.0053432443729960945,3.7047096639944357,3,gini,20.0,5,8,0.1,True
0,25,63,12,0.8650985579001329,0.004764515216124147,1.3846122609975282,3,gini,60.0,20,4,0.02,False
0,25,64,31,0.8645946862977075,0.010867505180656363,2.8508121950071654,3,entropy,,2,4,0.05,True
0,25,65,97,0.8642532192339466,0.012875531272418467,5.322365078001894,3,entropy,20.0,20,4,0.1,True
0,25,66,39,0.8638632519923549,0.0038989387634685855,2.4158124620043964,3,gini,,10,2,0.05,True
0,25,67,84,0.863622474812023,0.0030915835309206934,1.867143813000439,3,entropy,60.0,20,4,0.02,False
0,25,68,55,0.8633939202872442,0.0039131022442262815,1.4663012780001736,3,gini,40.0,2,1,sqrt,True
0,25,69,93,0.862542152334408,0.0033504603165439265,4.5379287080031645,3,gini,80.0,20,2,0.1,True
0,25,70,36,0.8624884201838704,0.005103447123981968,0.9428711840009782,3,entropy,40.0,10,2,log2,False
0,25,71,25,0.8624101141932065,0.007183074946348407,9.672392627999216,3,entropy,60.0,5,8,0.2,True
0,25,72,53,0.8624101141932065,0.007183074946348407,9.789571580000484,3,entropy,60.0,2,8,0.2,True
0,25,73,60,0.8619451723053443,0.010725832358145932,2.8707843299998785,3,entropy,60.0,20,1,0.05,True
0,25,74,82,0.861864628363254,0.007413617188266345,0.9053204569972877,3,entropy,60.0,20,1,log2,False
0,25,75,37,0.8612174754263197,0.010787475113301363,4.959814402001939,3,entropy,80.0,10,8,0.1,True
0,25,76,57,0.8609675902515015,0.003360292075315765,1.3120204970036866,3,entropy,,10,1,0.02,True
0,25,77,69,0.8599352077560877,0.013303094801569075,0.843324601999484,3,entropy,20.0,10,8,log2,False
0,25,78,87,0.8599352077560877,0.013303094801569075,0.8621994689965504,3,entropy,40.0,5,8,log2,False
0,25,79,27,0.8599006668934494,0.007049337755397674,1.7692694920006033,3,entropy,60.0,10,1,sqrt,True
0,25,80,86,0.8599006668934494,0.007049337755397674,1.7837883690008312,3,entropy,,10,1,sqrt,True
0,25,81,4,0.859241026035645,0.00733819491457895,7.471411046997673,3,gini,,10,8,0.2,True
0,25,82,75,0.8590973475099631,0.0071688320843559875,0.7103828939980303,3,gini,20.0,20,2,log2,False
0,25,83,28,0.857383632758885,0.0042787367383262465,0.6641691149998223,3,entropy,60.0,2,1,log2,True
0,25,84,56,0.8573521014334045,0.009858599315049921,1.007005127001321,3,gini,20.0,10,2,0.02,True
0,25,85,9,0.8564689317123615,0.009217067020137441,2.558047742004419,3,entropy,80.0,20,8,0.05,True
0,25,86,67,0.8563804256477902,0.006861686249357599,1.05386712699692,3,gini,20.0,20,1,0.02,True
0,25,87,15,0.856272064009585,0.010234651246615814,2.790800026999932,3,entropy,60.0,20,4,0.05,True
0,25,88,98,0.8556329990934978,0.0046791943959927865,1.2614197469956707,3,entropy,80.0,2,4,0.02,True
0,25,89,62,0.8553078638960608,0.009461851002599544,1.7052566399979696,3,entropy,20.0,20,2,sqrt,True
0,25,90,83,0.854591995357994,0.0013144658138526085,0.6872404479981924,3,entropy,60.0,5,1,log2,True
0,25,91,44,0.8539618346924186,0.007083801190998894,1.9318999710012577,3,gini,60.0,10,8,0.05,True
0,25,92,80,0.8538268654600699,0.007044403355486458,1.0015570930008835,3,gini,40.0,20,2,0.02,True
0,25,93,85,0.8517509886590092,0.012397715717559349,0.6782010050010285,3,entropy,,5,2,log2,True
0,25,94,7,0.8491680700230385,0.0063117321671781485,1.1514234520036553,3,gini,,10,8,sqrt,True
0,25,95,29,0.8490667562391437,0.007022424494681385,1.5295537700003479,3,entropy,20.0,20,8,sqrt,True
0,25,96,50,0.8490635078456243,0.016117817348334545,0.6863948639984301,3,entropy,60.0,10,1,log2,True
0,25,97,70,0.8452435135967571,0.0015516820941638137,0.6384147339995252,3,entropy,,10,4,log2,True
0,25,98,41,0.8419599764914105,0.005482994291689076,0.8631585000039195,3,gini,,5,8,0.02,True
0,25,99,47,0.8419599764914105,0.005482994291689076,0.8564817250044143,3,gini,,2,8,0.02,True
0,25,100,35,0.8306911648624148,0.003814520015799477,0.4735055099990859,3,gini,,2,8,log2,True
